,.TRXFLDHDTE1,.TRXFLDHDTF1,.TRXFLDHDTF4,.TRXFLDHDTH2,.TRXFLDHDTI1,.TRXFLDHDTI2,.TRXFLDHDTI4,.TRXFLDHDTM2,.TRXFLDHDTM3,.TRXFLDHDTN1,.TRXFLDHDTT1,.TRXFLDHDTU1,.TRXFLDHDTY2,.TRXFLDHDTY3,.TRXFLDHDTY4,.TRXFLDHDTE2,.TRXFLDHDTH1
2018-07-27,0.00011483281714048627,0.00015524480699517435,0.0003408540261993566,6.229735622247688e-05,5.48381229027814e-05,0.00021381433834600342,0.00019460235410774765,0.0002799430409942438,8.341526756613716e-05,0.0002535938842990904,0.0001875272406371737,0.00016914901760923187,0.00014998885914888524,0.00022513696329823994,0.00016515742353648508,0.0003366057383237117,0.00027704642677729393
2018-08-24,5.221178988189212e-05,0.00017334445689573246,0.00041282494036261916,-3.1991783866286515e-05,-3.495382967399547e-05,0.00023079661925430066,0.00022097816156831925,0.0002547651612748629,4.4904785652972186e-05,0.0003123110906789399,0.0001473180887327207,0.0002015564056866306,0.00014398650050003194,0.00021194247374175664,0.0001447854802937498,0.00040642380260524886,0.0002533167987436559
2018-09-21,0.00012512163235859649,0.0001059188753396022,0.0003938670884587786,0.00013065939138866528,5.5218291934142225e-06,0.00019035906550758135,0.0002652219696553794,0.00034753189536505623,-6.588777281093072e-05,0.00020292068990281835,0.00021530516398614828,0.00019189356140828843,0.0001611447154658272,0.00012339604418522466,0.00016881960239386473,0.0005375650103357603,0.00022521657193003158
2018-10-19,0.00010254303955915219,8.071940290012217e-05,0.0002829899555480579,9.699498985662164e-05,3.4573490512627555e-05,0.0001333212627262332,0.0001774637195972618,0.00025121841509993505,-2.186927698533213e-05,0.00017114048602424404,0.00018510682803973057,0.00010544307397127396,0.00016739577606434983,4.978855993555839e-05,0.00016868422000114743,0.0003243465397250318,0.00019165716311703745
2018-11-16,9.162814101033459e-05,4.9128561146637535e-06,0.0002506685040762754,-5.023289515829849e-07,-0.0001627185163551791,0.00011412377804528891,0.00016846760960450118,0.00026549666789698934,-0.00013103280816273172,0.00013015281406912304,9.924540017162807e-05,7.110221699176131e-05,0.00011914867872538085,-6.161668818231514e-05,0.0001637063217043295,0.0004068705312402287,0.00013149512697536696
2018-12-14,0.00015289403097073318,1.0232698155673094e-05,0.00039272579732521997,-5.5567524745112554e-05,-0.00025217664581512095,0.00018069490773117345,0.000257158968190908,0.0003629527744920027,-0.00014385919683358625,0.00017901179759352183,0.00013033075098559297,0.00013085406956784404,0.00019779950682499798,-8.08348945565651e-05,0.0002729716001503853,0.0006051709384870228,0.00011570277513921674
2019-01-11,8.70045523533573e-05,-1.8740645680810857e-05,0.0003755917670879269,-8.7871724330167e-05,-0.0002891506163532143,0.00015457972800519214,0.0002245712341628322,0.00027692324051029483,2.50764721469533e-05,0.00010916097601719471,0.00012016789379398253,9.816253930944126e-05,0.00013806517417877518,-0.00017408790388813122,0.00023964344511131976,0.0006424202512276663,7.270679310686664e-05
2019-02-08,-1.5298052753280285e-05,-0.00014297635659744695,0.0004220999377558584,-0.0002534369431625558,-0.0005423088438544923,0.00011331939052741346,0.00023329694545331495,0.0002709525780894894,-6.907987702143911e-05,3.9300300551096306e-05,7.926427129142606e-05,5.940364397889517e-05,9.448383296041323e-05,-0.0003152098763250596,0.000186289966046048,0.0007061684544078723,-7.875751230537827e-05
2019-03-08,4.882886516277467e-05,-0.00011947102391871737,0.0004887215504491272,-0.0001994488444505757,-0.0005319791974177323,0.00015102261547615502,0.0002626494989588363,0.0003517733412208919,-5.108728667761195e-05,8.143953893857582e-05,0.0001070378875970758,7.950512697288477e-05,0.000144226219815527,-0.00027250093093434926,0.00025638212975260215,0.0008614413857373609,-2.1528544016510684e-05
2019-04-05,8.042751546673972e-05,-0.00010791200771797987,0.00044308232968764407,-0.00013603859629576182,-0.0005084632606608123,0.00015320456489503913,0.00021324473912334724,0.00029588734306347687,9.881749254353968e-06,9.499875693873129e-05,0.0001740274755990772,6.266180952447267e-05,0.00012504479750724938,-0.00024876120552201294,0.00030910737639799863,0.0007397082291433628,5.368927942735311e-05
2019-05-03,0.00012868438874439245,-0.00011187855724289616,0.0004860908631122258,-3.663865904717066e-05,-0.00044646446406272817,0.0001527832984072026,0.00024869035821027853,0.00037182285054491304,5.145874506393808e-05,0.00011467948256914939,0.00028022948367281903,8.709820326776278e-05,0.0001285033058885282,-0.00014677541170365687,0.0003510435800697662,0.0008658550029847769,0.00010264115266875739
2019-05-31,0.00016077018499823095,-8.810845366071719e-05,0.0004314240277644047,-1.3670315125534253e-05,-0.0002970968687473756,0.00016520891764562875,0.00020891575407213503,0.00033766148518887633,0.00011216626993178792,0.0001433828024662633,0.00039073822347879733,5.6680452191243386e-05,0.000163577392694231,-2.2803753491215008e-05,0.00037043447378187956,0.000775954801453563,0.0001798160543256952
2019-06-28,6.144885205778526e-05,-0.0001127596024362015,0.0003758789959339156,-2.5091002456295252e-05,-0.0003136905174750194,0.00012456329709116624,0.0001688964880053456,0.0002681242313417875,8.792817916697668e-05,0.00011376576806978694,0.0003429914058926378,1.4640096132041931e-05,0.00011989505735724091,-5.147922462694782e-05,0.00027061122127052656,0.0007587022816230372,0.0001411419935461874
2019-07-26,4.7751773052453056e-05,-8.854677869523652e-05,0.0003391163820960047,6.880043327057966e-05,-0.00021517341562018915,0.00010783686626225365,0.00017807444539614883,0.00030283860134452847,0.00013460309276949278,0.00015546690975820932,0.000332922411027895,2.0824281303633662e-05,0.00019085932459014197,-1.8210542714536157e-05,0.00029885359705948076,0.0006510841967412594,0.00010812896739988132
2019-08-23,7.46343206898625e-05,-1.1754245388833769e-06,0.00021298018078310426,5.736281778952268e-05,-7.458535746252337e-05,6.903352117214528e-05,0.00012614728545415506,0.00016640534981907505,0.00012075173236539712,9.544293176389357e-05,0.00016562969998134704,2.4377865310577176e-05,9.090814626462687e-05,4.986203914939489e-05,0.00017518904505076934,0.00032572763797569527,8.478698521429468e-05
2019-09-20,0.00010192404860770867,6.175559913160191e-06,0.0002105014327630433,6.39280498104346e-05,-6.476868027427842e-05,7.599354435935527e-05,0.00012409406859686757,0.0001558813762756949,0.00012164970667143377,0.00011472404901130503,0.00017993206764424792,2.5393337716783394e-05,9.261915634343142e-05,5.293263366026044e-05,0.00019895972431650585,0.0003534937929782879,9.904987329255133e-05
2019-10-18,0.00011920993325381493,-3.5049976524930024e-07,0.00018812796872786993,6.09500273639895e-05,-7.590487367266695e-05,7.558095609092544e-05,0.00011702839022750221,0.00013597052201451797,0.0001095827787802683,9.911010547411416e-05,0.00017214730028852394,2.4393833992013363e-05,7.530988984929895e-05,5.659656979757741e-05,0.0001770937796932461,0.0003448949162896299,8.689247029294931e-05
2019-11-15,0.00021037270635887887,3.2224648212228355e-05,0.00033169927797253027,0.0001568937460574117,-7.699972030139501e-05,0.0001762663370989267,0.00022732633690681492,0.0003173293443452423,0.00027077886773373963,0.00019153363789376615,0.00032381137996267154,5.588239381048579e-05,0.0001590931277766647,0.00011151178593335329,0.00033136582251829845,0.0006134899097349089,0.00022018332987295818
2019-12-13,0.00016396194177918094,6.528726231358592e-05,0.000274044191596916,0.00011385287189183082,-6.597745993836903e-05,0.00014936046308430934,0.00018193029341879993,0.0002892654589991775,0.00023373257581434695,0.00016222578777658295,0.00024484163381084244,4.6472566150634245e-05,0.0001148944725357731,0.00012875586385434167,0.0002668529009297483,0.00043358329598738556,0.00014248638178714017
2020-01-10,0.00022213288530897898,6.577196962437816e-05,0.0003419402753861134,0.00014696476399045447,-0.00013412690881123933,0.0002070023698508604,0.0002220137147793829,0.0003927559463593801,0.0002851236760614526,0.00020561840045663066,0.00031143129038968965,3.8567217185263296e-05,0.00014252646301298597,0.0001593547279779909,0.00034796666281579396,0.0005801583420720311,0.00018109283802177458
2020-02-07,0.00019309863006298643,8.139929442222712e-05,0.0003219323161549811,0.00017980173601204547,-5.379882390100839e-05,0.00021047579589146656,0.00021023872759031568,0.0003616775762663056,0.0002757565656207903,0.00020910504285606918,0.00033218617462300426,4.7460821025852796e-05,0.0001695690139374288,0.00017786960715437405,0.00030730224690378287,0.0005467119578941107,0.0001711092782527533
2020-03-06,0.00015694760343598009,5.795750233637255e-05,0.00021683430909758973,9.704990717050516e-05,-1.4204953133332315e-05,0.00010968537466131608,0.0001485814673583465,0.0002639826337000802,0.00019854338818984122,0.0001555287820605578,0.00022269842756256382,5.089918367154495e-05,0.0001618764610071212,0.0001302473259058296,0.0002579287454352583,0.00035207543129838273,0.00011665191803153862
2020-04-03,-7.428592398246066e-05,-4.7110449239812255e-05,-0.00011713186478872777,-7.249041929430669e-05,-4.6973337573639695e-05,-6.564161506082106e-05,-7.722094225143493e-05,-0.00013573621277922733,-0.0001245520274371747,-9.015309778260818e-05,-0.00012460196074022266,-6.389428629049617e-05,-9.572582979554813e-05,-9.410749341554712e-05,-0.00013250172130633902,-0.00022586720692862336,-6.959444094670901e-05
2020-05-01,3.269219656489058e-05,1.2397970241146558e-05,5.4874791295923165e-05,3.779869746392281e-05,2.4512306048098775e-05,2.8836689560865025e-05,3.7052689326066846e-05,6.231289370286633e-05,5.621891212115669e-05,4.0260971103119994e-05,5.693152719639106e-05,3.535486689785433e-05,3.8669367164819075e-05,4.3392992194941456e-05,6.04476486426371e-05,0.00010382303986277488,4.5953966265661877e-05
2020-05-29,-2.399378162202567e-05,-1.0878217827784698e-05,-4.1483872417352684e-05,-3.255448656410853e-05,-1.4533866844499064e-05,-2.3890317991444574e-05,-2.650623786019534e-05,-4.736043258321399e-05,-4.3669972801211653e-05,-3.105087782409094e-05,-4.69673143600851e-05,-2.889468977388324e-05,-2.9002287703608402e-05,-3.1568824468676585e-05,-4.295483736495342e-05,-7.044783337744072e-05,-4.4495207741087136e-05
