,HSCIIT Index,HSCIH Index,HSCIEN Index,HSCICD Index,HSCIPC Index,HSCIFN Index,HSCIMT Index,HSCICS Index,HSCIUT Index,HSCITC Index,HSCIIN Index
2016-07-08,2.084999348099113e-05,1.812464850416704e-05,3.586335419254748e-05,2.295813016035891e-05,3.059621516553023e-05,3.431848473692138e-05,4.007713800863623e-05,1.8204957591948597e-05,2.0189367577006355e-05,1.3385035572994496e-05,4.5410649698253103e-05
2016-08-05,4.647624614509656e-05,3.838224929473527e-05,8.472420268062201e-05,5.922132807307646e-05,8.319940429480536e-05,8.475942435990283e-05,0.0001039195274769087,3.865089360372294e-05,5.293775328100443e-05,3.603799079499469e-05,0.00011111591586137801
2016-09-02,8.682643401314167e-05,7.19565443008021e-05,0.00013981074496778218,0.00010054678860583227,0.00014199419271215921,0.00014759086238850548,0.00017384932923770953,7.275016470809816e-05,9.41188388517738e-05,6.24259859477988e-05,0.0001863653151489276
2016-09-30,5.751332017799296e-05,5.183580702302239e-05,9.045970567005526e-05,6.240382563181288e-05,9.335699516999917e-05,9.239786859883151e-05,0.0001119741970489288,4.317366329586864e-05,6.299248167859829e-05,4.206966274324387e-05,0.00011898403236735109
2016-10-28,3.225296962280216e-05,3.1306512405737796e-05,5.165615513744526e-05,3.5905242152574837e-05,5.375218065767331e-05,5.340616913800081e-05,6.429171122178394e-05,2.6211025251441912e-05,3.623515161417071e-05,2.6158780608407984e-05,7.002039240797955e-05
2016-11-25,-1.1385760262612964e-05,-1.030086384858493e-05,-1.679401175671458e-05,-1.1603255096266253e-05,-1.8537042637992985e-05,-1.7737724776719865e-05,-2.0996409486526806e-05,-9.048374168659773e-06,-1.1847699065466655e-05,-8.524321626217512e-06,-2.2613106407044222e-05
2016-12-23,2.0990881641166784e-05,1.9885991141910217e-05,3.1123085369525685e-05,2.183617159676587e-05,3.5544200392442756e-05,3.278107095666784e-05,3.805171572669751e-05,1.6547894014861852e-05,2.2514067140113867e-05,1.5591764250089507e-05,4.2067944155347175e-05
2017-01-20,3.694832015166367e-05,3.6140996559088604e-05,5.940817214980629e-05,4.09637197722556e-05,6.679091618355496e-05,5.971141441499241e-05,6.985621168523448e-05,3.068373738569176e-05,4.151501599955923e-05,2.950135406380373e-05,7.516850366719555e-05
2017-02-17,0.00015638936382851568,0.0001425375922893874,0.0002024428522558786,0.000149440314820883,0.00023349502839024004,0.00020818373457044665,0.00025152487240945657,0.00010783355758297627,0.0001417008631109928,9.757586625621849e-05,0.00026372286355492574
2017-03-17,0.00011978605564454214,0.00012149832495506913,0.00016669776192764757,0.00012883637400382136,0.00019542273130493306,0.00017367146704188102,0.00021902085125707937,8.437138862616999e-05,0.0001184610433552421,7.958811407476881e-05,0.00022279587902613131
2017-04-14,0.0001672317481017935,0.0001678229512645731,0.0002078483306502475,0.0001612099634161733,0.0002406551896663113,0.0002002359906223362,0.00025734053482634646,8.622021820590422e-05,0.00013676552195639034,6.762662375462528e-05,0.0002773324205059507
2017-05-12,0.00018945695670302256,0.00020000135587389944,0.0002579143429465293,0.0001921555621086328,0.0002933184226801184,0.00024914044977852916,0.00031850520947027534,0.0001004746797404965,0.00016411049361029698,0.00011529809770281324,0.0003389916101773007
2017-06-09,0.00017005172568647465,0.00018565644033579964,0.00024088763090827304,0.00018138200013368295,0.00027812408876051346,0.00023244543218808397,0.00030709508691140734,0.00010303983952021593,0.00014912652592083647,0.00011227836139951115,0.00031498087026546556
2017-07-07,0.00017410872631605612,0.0001878676302100726,0.00024228954107072208,0.00018317823527028623,0.00028015051567794696,0.00023323393959068654,0.00030611244057903505,0.0001089671607638781,0.00015908377453008384,0.00011134745581226374,0.0003181589073798417
2017-08-04,0.00016904114376933382,0.0001849515378771962,0.00023091919378879193,0.00016479228823901656,0.00025475317559786663,0.00020544469799281065,0.0002910770359404124,0.00010477187715168817,0.00014932017515262305,0.00010461081720923758,0.00029821454304381135
2017-09-01,0.00014282524995860347,0.00015173957200616503,0.00019834989163657903,0.00013970534035482799,0.0002214093515122849,0.00017736694092617563,0.0002547298835659806,9.096442432046279e-05,0.00012711271651304567,9.183832335294041e-05,0.00025642760080939425
2017-09-29,0.00024766021944896624,0.0002703336027290278,0.00034683104037025735,0.0002360970081086312,0.0003768189257071313,0.00030638478454506974,0.0004584784128907791,0.00016598209154608813,0.00021744362014916832,0.00014279632765597445,0.0004524828560102678
2017-10-27,0.00031260617874118304,0.0003393636430065891,0.00040182224745377815,0.0002822990647562127,0.0004716755016496731,0.0003823895510848995,0.0005557227289763205,0.00018186196393256152,0.0002680174709773866,0.00017753405180730391,0.0005584165500819493
2017-11-24,0.0003307128446716252,0.0003416068186908161,0.00038762088085918635,0.0002989641319138654,0.0004577907035662567,0.0003746583491387285,0.0005262156102916258,0.00018831231450754137,0.00025976157979012385,0.00016439607975555874,0.0005328152884205025
