Dates,DJUSBMT,DJUSNCT,DJUSCYT,DJUSHCT,DJUSINT,DJUSENT,DJUSTCT,DJUSTLT,DJUSUTT,DJUSFNT
31/1/2014,-0.047862684,-0.053563902,-0.047647951,0.015287365,-0.042458333,-0.062315255,-0.017155842,-0.034701216,0.027729601,-0.033285754
28/2/2014,0.066524142,0.04225086,0.064159762,0.061361805,0.041570573,0.054926416,0.047867216,-0.00676994,0.03299453,0.033564198
31/3/2014,0.010311512,0.014798798,-0.021860651,-0.017191283,0.001963542,0.02498579,0.002574074,0.046760127,0.03235377,0.024624448
30/4/2014,0.008311586,0.017415379,-0.012514032,-0.007189411,0.005642808,0.04990216,-0.001091173,0.011573021,0.03974317,-0.015983442
30/5/2014,0.027104643,0.021932685,0.027838421,0.027014528,0.016930179,0.014208533,0.038370449,0.039859452,-0.006315274,0.015162138
30/6/2014,0.020003452,0.008921012,0.014893296,0.026907997,0.011144181,0.052861044,0.030967662,-0.010299246,0.04469913,0.023324412
31/7/2014,-0.023536777,-0.037509122,-0.010588104,-0.002021369,-0.040832785,-0.035190865,0.010041073,0.031902109,-0.0696146,-0.015663887
29/8/2014,0.039474596,0.052921553,0.041266146,0.053004973,0.042879363,0.025510129,0.043339106,-0.012361038,0.05234559,0.039882866
30/9/2014,-0.026789584,-0.013825548,-0.019112185,0.000254432,-0.021794338,-0.077212053,-0.009324882,0.004582853,-0.02595525,-0.0117862
31/10/2014,-0.02509464,0.034841552,0.026555396,0.056876571,0.036785209,-0.03655403,0.009149822,0.009283961,0.084888323,0.04070115
28/11/2014,0.006588888,0.048921033,0.063208786,0.032260549,0.025079824,-0.092566857,0.051316486,0.012476211,0.010635872,0.023535069
31/12/2014,-0.015849465,-0.015886541,0.016897771,-0.011042304,-0.001460477,-7.97E-05,-0.018487265,-0.063309315,0.035536431,0.016221013
30/1/2015,-0.03086146,-0.021565768,-0.020039748,0.016408902,-0.033860133,-0.04715319,-0.038152104,-0.006912121,0.021881906,-0.0545639
27/2/2015,0.078384363,0.052581941,0.071218523,0.043894971,0.069651541,0.046522648,0.083291648,0.0675816,-0.060660981,0.053026907
31/3/2015,-0.045363519,-0.017909094,0.001525096,0.011190017,-0.017021117,-0.018129839,-0.0321494,-0.037724441,-0.007587918,-0.003121493
30/4/2015,0.033137189,-0.001802167,-0.010375862,-0.016506988,-0.004255699,0.070042499,0.022963513,0.056114086,-0.005979513,-0.001876173
29/5/2015,-0.002632711,0.012716933,0.010346694,0.04957459,0.009008433,-0.049629867,0.02315144,-0.015753531,0.004470522,0.018369199
30/6/2015,-0.040647321,-0.009927687,-0.003917738,0.000238422,-0.023537468,-0.035656171,-0.044530298,-0.021262057,-0.061441545,-0.003869802
31/7/2015,-0.066413696,0.034031826,0.050487689,0.028016379,0.000584438,-0.082044757,0.022094478,8.06E-05,0.057775453,0.033634493
31/8/2015,-0.059984975,-0.048192247,-0.067223432,-0.078495835,-0.054489759,-0.04037969,-0.057871982,-0.0294552,-0.034743053,-0.065488039
30/9/2015,-0.07881309,0.001440757,-0.014990422,-0.064522506,-0.027689309,-0.072926153,-0.012605383,-0.039976761,0.029214903,-0.024805525
30/10/2015,0.135319111,0.066864581,0.075011198,0.071576096,0.090784588,0.115538343,0.10362754,0.071582951,0.017386399,0.062037904
30/11/2015,0.009797006,-0.007192089,-0.009065133,-0.000717167,0.0145359,-0.003684173,0.009808598,-0.018851688,-0.019486343,0.018687888
31/12/2015,-0.041951257,0.003503514,-0.009794169,0.013932,-0.030990048,-0.105356726,-0.025855452,0.017980485,0.019324796,-0.022708749
29/1/2016,-0.104609714,-0.018079472,-0.05241735,-0.085265831,-0.057708259,-0.035382554,-0.055485259,0.060770059,0.049060236,-0.081924094
