,Trdwnt,Opndt,Clsdt
946,2010-12,2010-03-15,2010-03-19
947,2010-13,2010-03-22,2010-03-26
948,2010-14,2010-03-29,2010-04-02
949,2010-15,2010-04-06,2010-04-09
950,2010-16,2010-04-12,2010-04-16
951,2010-17,2010-04-19,2010-04-23
952,2010-18,2010-04-26,2010-04-30
953,2010-19,2010-05-04,2010-05-07
954,2010-20,2010-05-10,2010-05-14
955,2010-21,2010-05-17,2010-05-21
956,2010-22,2010-05-24,2010-05-28
957,2010-23,2010-05-31,2010-06-04
958,2010-24,2010-06-07,2010-06-11
959,2010-25,2010-06-18,2010-06-18
960,2010-26,2010-06-21,2010-06-25
961,2010-27,2010-06-28,2010-06-29
2536,2010-28,2010-07-05,2010-07-09
2537,2010-29,2010-07-12,2010-07-16
2538,2010-30,2010-07-19,2010-07-23
2539,2010-31,2010-07-26,2010-07-30
2540,2010-32,2010-08-02,2010-08-06
2541,2010-33,2010-08-09,2010-08-13
2542,2010-34,2010-08-16,2010-08-20
2543,2010-35,2010-08-23,2010-08-27
962,2010-36,2010-09-02,2010-09-03
963,2010-37,2010-09-06,2010-09-10
964,2010-38,2010-09-13,2010-09-17
965,2010-39,2010-09-20,2010-09-21
966,2010-40,2010-09-27,2010-09-29
967,2010-41,2010-10-08,2010-10-08
968,2010-42,2010-10-11,2010-10-15
969,2010-43,2010-10-18,2010-10-22
970,2010-44,2010-10-25,2010-10-29
971,2010-45,2010-11-01,2010-11-05
972,2010-46,2010-11-08,2010-11-12
973,2010-47,2010-11-15,2010-11-19
974,2010-48,2010-11-22,2010-11-26
975,2010-49,2010-11-29,2010-12-03
976,2010-50,2010-12-06,2010-12-10
977,2010-51,2010-12-13,2010-12-17
978,2010-52,2010-12-20,2010-12-24
979,2010-53,2010-12-27,2010-12-31
980,2011-02,2011-01-04,2011-01-07
981,2011-03,2011-01-10,2011-01-14
982,2011-04,2011-01-17,2011-01-21
983,2011-05,2011-01-24,2011-01-28
984,2011-06,2011-01-31,2011-02-01
985,2011-07,2011-02-09,2011-02-11
986,2011-08,2011-02-14,2011-02-18
987,2011-09,2011-02-21,2011-02-25
988,2011-10,2011-02-28,2011-03-04
989,2011-11,2011-03-07,2011-03-11
990,2011-12,2011-03-14,2011-03-18
991,2011-13,2011-03-21,2011-03-25
992,2011-14,2011-03-28,2011-04-01
993,2011-15,2011-04-06,2011-04-08
994,2011-16,2011-04-11,2011-04-15
995,2011-17,2011-04-18,2011-04-22
996,2011-18,2011-04-25,2011-04-29
997,2011-19,2011-05-03,2011-05-06
998,2011-20,2011-05-13,2011-05-13
999,2011-21,2011-05-16,2011-05-20
1000,2011-22,2011-05-23,2011-05-27
1001,2011-23,2011-05-30,2011-06-03
1002,2011-24,2011-06-07,2011-06-10
1003,2011-25,2011-06-13,2011-06-17
1004,2011-26,2011-06-20,2011-06-24
1005,2011-27,2011-06-27,2011-07-01
1006,2011-28,2011-07-04,2011-07-08
1007,2011-29,2011-07-11,2011-07-15
1008,2011-30,2011-07-18,2011-07-22
1009,2011-31,2011-07-25,2011-07-29
1010,2011-32,2011-08-01,2011-08-05
1011,2011-33,2011-08-08,2011-08-12
1012,2011-34,2011-08-15,2011-08-19
1013,2011-35,2011-08-22,2011-08-26
1014,2011-36,2011-08-29,2011-09-01
1015,2011-37,2011-09-05,2011-09-09
1016,2011-38,2011-09-13,2011-09-16
1017,2011-39,2011-09-19,2011-09-23
1018,2011-40,2011-09-26,2011-09-30
1019,2011-42,2011-10-10,2011-10-14
1020,2011-43,2011-10-17,2011-10-21
1021,2011-44,2011-10-24,2011-10-28
1022,2011-45,2011-10-31,2011-11-04
1023,2011-46,2011-11-07,2011-11-11
1024,2011-47,2011-11-14,2011-11-18
1025,2011-48,2011-11-21,2011-11-25
1026,2011-49,2011-11-28,2011-12-02
1027,2011-50,2011-12-05,2011-12-09
1028,2011-51,2011-12-12,2011-12-16
1029,2011-52,2011-12-19,2011-12-23
1030,2011-53,2011-12-26,2011-12-30
1031,2012-01,2012-01-04,2012-01-06
1032,2012-02,2012-01-09,2012-01-09
1033,2012-03,2012-01-20,2012-01-20
1034,2012-05,2012-01-30,2012-02-03
1035,2012-06,2012-02-06,2012-02-10
1036,2012-07,2012-02-13,2012-02-17
1037,2012-08,2012-02-20,2012-02-24
1038,2012-09,2012-02-27,2012-03-02
1039,2012-10,2012-03-05,2012-03-09
1040,2012-11,2012-03-12,2012-03-16
1041,2012-12,2012-03-19,2012-03-23
1042,2012-13,2012-03-26,2012-03-30
1043,2012-14,2012-04-05,2012-04-06
1044,2012-15,2012-04-09,2012-04-13
1045,2012-16,2012-04-16,2012-04-20
1046,2012-17,2012-04-23,2012-04-27
1047,2012-18,2012-05-02,2012-05-04
1048,2012-19,2012-05-07,2012-05-11
1049,2012-20,2012-05-14,2012-05-18
1050,2012-21,2012-05-21,2012-05-25
1051,2012-22,2012-05-28,2012-06-01
1052,2012-23,2012-06-04,2012-06-08
1053,2012-24,2012-06-11,2012-06-15
1054,2012-25,2012-06-18,2012-06-21
1055,2012-26,2012-06-25,2012-06-29
1056,2012-27,2012-07-02,2012-07-06
1057,2012-28,2012-07-09,2012-07-13
1058,2012-29,2012-07-16,2012-07-20
1059,2012-30,2012-07-23,2012-07-27
1060,2012-31,2012-07-30,2012-08-03
1061,2012-32,2012-08-06,2012-08-10
1062,2012-33,2012-08-13,2012-08-17
1063,2012-34,2012-08-20,2012-08-24
1064,2012-35,2012-08-27,2012-08-31
1065,2012-36,2012-09-03,2012-09-07
1066,2012-37,2012-09-10,2012-09-14
1067,2012-38,2012-09-17,2012-09-21
1068,2012-39,2012-09-24,2012-09-28
1069,2012-41,2012-10-08,2012-10-12
1070,2012-42,2012-10-15,2012-10-19
1071,2012-43,2012-10-22,2012-10-26
1072,2012-44,2012-10-29,2012-11-02
