Date,.dMIHK0EGI0G,.dMIHK0MLI0G,.dMIHK0CGI0G,.dMIHK0TPI0G,.dMIHK0ACI0G,.dMIHK0CAI0G,.dMIHK0CVI0G,.dMIHK0RTI0G,.dMIHK0FDI0G,.dMIHK0FBI0G,.dMIHK0PBI0G,.dMIHK0BKI0G,.dMIHK0DFI0G,.dMIHK0ISI0G,.dMIHK0SSI0G,.dMIHK0THI0G,.dMIHK0SEI0G,.dMIHK0TSI0G,.dMIHK0MDI0G,.dMIHK0ULI0G,.dMIHK0REI0G
2009-11-03 00:00:00+00:00,72.264,98.281,695.566,789.893,770.27,759.452,820.627,871.771,,1202.878,601.349,1067.34,1521.398,,,586.814,1081.17,1106.663,588.222,1109.38,1103.076
2009-11-04 00:00:00+00:00,71.844,98.325,702.595,802.984,824.279,766.754,840.008,897.475,,1208.561,601.349,1079.567,1541.903,,,595.707,1068.418,1113.976,595.672,1120.897,1114.343
2009-11-05 00:00:00+00:00,70.793,98.071,691.841,798.029,810.134,762.438,830.755,890.444,,1216.007,585.14,1077.547,1538.498,,,610.405,1063.864,1110.846,589.75,1113.943,1100.36
2009-11-06 00:00:00+00:00,72.054,99.446,695.732,809.62,828.137,770.88,836.703,898.434,,1225.686,591.972,1098.672,1562.567,,,612.082,1093.922,1110.685,584.274,1117.288,1115.557
2009-11-09 00:00:00+00:00,79.616,103.482,703.4,821.678,825.565,778.065,851.289,924.079,,1228.484,607.329,1117.157,1579.226,,,600.142,1143.107,1114.209,574.445,1124.158,1126.623
2009-11-10 00:00:00+00:00,77.516,100.982,706.336,821.79,803.704,768.897,860.569,926.033,,1241.795,600.505,1121.772,1584.152,,,598.807,1146.751,1106.463,577.426,1126.616,1122.52
2009-11-11 00:00:00+00:00,77.516,101.038,714.804,828.278,803.704,772.431,852.145,923.289,,1203.048,600.505,1171.399,1579.731,,,597.255,1166.789,1115.263,590.82,1133.501,1115.148
2009-11-12 00:00:00+00:00,87.809,100.841,707.546,827.608,788.273,773.207,856.558,911.894,,1159.704,604.771,1183.947,1567.19,,,601.23,1159.503,1126.542,583.431,1139.694,1107.5
2009-11-13 00:00:00+00:00,87.599,100.461,709.342,831.969,768.984,775.507,856.259,920.438,,1159.985,633.784,1165.588,1555.896,,,598.124,1176.809,1127.454,594.454,1147.815,1108.074
2009-11-16 00:00:00+00:00,90.33,103.849,717.867,833.108,774.128,787.345,865.13,928.586,,1251.161,624.398,1180.271,1602.437,,,604.949,1214.153,1129.283,599.6,1143.245,1126.899
